customer_id,recency,frequency,monetary,R_score,F_score,M_score,RFM_total,cluster,segment_name,action,discount,channel
C0001,135,7,16751.2,1,3,3,7,0, New / Occasional,Welcome Series,20%,SMS
C0002,79,1,1623.71,2,1,1,4,0, New / Occasional,Welcome Series,20%,SMS
C0003,7,1,2180.65,5,1,1,7,2, Potential Growth,Engagement Promo,15%,Line OA
C0004,164,3,8438.14,1,2,1,4,0, New / Occasional,Welcome Series,20%,SMS
C0005,19,11,51379.880000000005,4,4,5,13,1, Loyal Customers,Cross-sell Bundle,10–15%,Email
C0006,36,11,37352.090000000004,3,4,4,11,1, Loyal Customers,Cross-sell Bundle,10–15%,Email
C0007,17,25,92355.35,4,5,5,14,4, Champions,VIP Early Access,5–10%,Push Notification
C0008,15,3,20521.08,4,2,3,9,2, Potential Growth,Engagement Promo,15%,Line OA
C0009,40,4,15339.349999999999,3,2,2,7,2, Potential Growth,Engagement Promo,15%,Line OA
C0010,335,1,7000.2,1,1,1,3,3, At Risk / Churned,Win-back Campaign,30%+,Email + SMS
C0011,37,16,83243.63,3,5,5,13,4, Champions,VIP Early Access,5–10%,Push Notification
C0012,86,3,12858.17,2,2,2,6,0, New / Occasional,Welcome Series,20%,SMS
C0013,7,2,2785.44,5,1,1,7,2, Potential Growth,Engagement Promo,15%,Line OA
C0014,54,10,51160.619999999995,3,4,5,12,1, Loyal Customers,Cross-sell Bundle,10–15%,Email
C0015,21,8,30571.2,4,4,4,12,2, Potential Growth,Engagement Promo,15%,Line OA
C0016,16,14,72593.07,4,5,5,14,1, Loyal Customers,Cross-sell Bundle,10–15%,Email
C0017,52,12,51479.26,3,4,5,12,1, Loyal Customers,Cross-sell Bundle,10–15%,Email
C0018,198,3,16570.68,1,2,3,6,3, At Risk / Churned,Win-back Campaign,30%+,Email + SMS
C0019,10,3,10721.15,5,2,2,9,2, Potential Growth,Engagement Promo,15%,Line OA
C0020,67,9,42506.53,2,4,4,10,1, Loyal Customers,Cross-sell Bundle,10–15%,Email
C0021,217,3,14766.8,1,2,2,5,3, At Risk / Churned,Win-back Campaign,30%+,Email + SMS
C0022,99,10,36429.52,2,4,4,10,1, Loyal Customers,Cross-sell Bundle,10–15%,Email
C0023,35,12,55863.46,3,4,5,12,1, Loyal Customers,Cross-sell Bundle,10–15%,Email
C0024,3,6,25300.26,5,3,3,11,2, Potential Growth,Engagement Promo,15%,Line OA
C0025,62,6,23173.07,2,3,3,8,2, Potential Growth,Engagement Promo,15%,Line OA
C0026,139,1,7359.24,1,1,1,3,0, New / Occasional,Welcome Series,20%,SMS
